C_Zh,mass,CaPhi,BR_mu,acceptance,cross_section_pb,BR_h_to_Za,N_signal
0.001,1.0,1e-06,0.01,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,1.26e-06,0.01,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,1.58e-06,0.01,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,2e-06,0.01,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,2.51e-06,0.01,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,3.16e-06,0.01,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,3.98e-06,0.01,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,5.01e-06,0.01,6.666666666666667e-05,5.331062748960671e-05,9.762063264897768e-07,4.264850199168537e-05
0.001,1.0,7.94e-06,0.01,3.3333333333333335e-05,5.331062748960671e-05,9.762063264897768e-07,2.1324250995842685e-05
0.001,1.0,1e-05,0.01,3.3333333333333335e-05,5.331062748960671e-05,9.762063264897768e-07,2.1324250995842685e-05
0.001,1.0,1.26e-05,0.01,6.666666666666667e-05,5.331062748960671e-05,9.762063264897768e-07,4.264850199168537e-05
0.001,1.0,1.58e-05,0.01,3.3333333333333335e-05,5.331062748960671e-05,9.762063264897768e-07,2.1324250995842685e-05
0.001,1.0,2e-05,0.01,0.00016666666666666666,5.331062748960671e-05,9.762063264897768e-07,0.00010662125497921341
0.001,1.0,2.51e-05,0.01,0.00016666666666666666,5.331062748960671e-05,9.762063264897768e-07,0.00010662125497921341
0.001,1.0,3.16e-05,0.01,0.0002,5.331062748960671e-05,9.762063264897768e-07,0.00012794550597505612
0.001,1.0,3.98e-05,0.01,0.0003333333333333333,5.331062748960671e-05,9.762063264897768e-07,0.00021324250995842682
0.001,1.0,6.31e-05,0.01,0.0001,5.331062748960671e-05,9.762063264897768e-07,6.397275298752806e-05
0.001,1.0,7.94e-05,0.01,6.666666666666667e-05,5.331062748960671e-05,9.762063264897768e-07,4.264850199168537e-05
