C_Zh,mass,CaPhi,BR_mu,acceptance,cross_section_pb,BR_h_to_Za,N_signal
0.001,1.0,3.16e-07,0.1,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,3.98e-07,0.1,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,5.01e-07,0.1,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,6.31e-07,0.1,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,7.94e-07,0.1,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,1e-06,0.1,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,1.26e-06,0.1,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,1.58e-06,0.1,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,2e-06,0.1,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,2.51e-06,0.1,3.3333333333333335e-05,5.331062748960671e-05,9.762063264897768e-07,0.00021324250995842687
0.001,1.0,3.98e-06,0.1,0.0001,5.331062748960671e-05,9.762063264897768e-07,0.0006397275298752806
0.001,1.0,5.01e-06,0.1,6.666666666666667e-05,5.331062748960671e-05,9.762063264897768e-07,0.00042648501991685375
0.001,1.0,7.94e-06,0.1,6.666666666666667e-05,5.331062748960671e-05,9.762063264897768e-07,0.00042648501991685375
0.001,1.0,1e-05,0.1,6.666666666666667e-05,5.331062748960671e-05,9.762063264897768e-07,0.00042648501991685375
0.001,1.0,1.26e-05,0.1,0.00023333333333333333,5.331062748960671e-05,9.762063264897768e-07,0.001492697569708988
0.001,1.0,1.58e-05,0.1,0.0001,5.331062748960671e-05,9.762063264897768e-07,0.0006397275298752806
0.001,1.0,2.51e-05,0.1,0.0005,5.331062748960671e-05,9.762063264897768e-07,0.0031986376493764027
0.001,1.0,3.16e-05,0.1,0.0006,5.331062748960671e-05,9.762063264897768e-07,0.0038383651792516828
0.001,1.0,3.98e-05,0.1,0.0011,5.331062748960671e-05,9.762063264897768e-07,0.007037002828628087
0.001,1.0,5.01e-05,0.1,0.0013333333333333333,5.331062748960671e-05,9.762063264897768e-07,0.008529700398337075
0.001,1.0,6.31e-05,0.1,0.0018666666666666666,5.331062748960671e-05,9.762063264897768e-07,0.011941580557671904
0.001,1.0,7.94e-05,0.1,0.0018,5.331062748960671e-05,9.762063264897768e-07,0.01151509553775505
0.001,1.0,0.0001,0.1,0.0017666666666666666,5.331062748960671e-05,9.762063264897768e-07,0.011301853027796623
0.001,1.0,0.000126,0.1,0.0021,5.331062748960671e-05,9.762063264897768e-07,0.013434278127380891
0.001,1.0,0.000158,0.1,0.0012333333333333332,5.331062748960671e-05,9.762063264897768e-07,0.007889972868461794
0.001,1.0,0.0002,0.1,0.0005,5.331062748960671e-05,9.762063264897768e-07,0.0031986376493764027
0.001,1.0,0.000251,0.1,0.0002,5.331062748960671e-05,9.762063264897768e-07,0.0012794550597505611
0.001,1.0,0.000316,0.1,3.3333333333333335e-05,5.331062748960671e-05,9.762063264897768e-07,0.00021324250995842687
0.001,1.0,0.000398,0.1,3.3333333333333335e-05,5.331062748960671e-05,9.762063264897768e-07,0.00021324250995842687
0.001,1.0,0.000501,0.1,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,0.000631,0.1,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,0.000794,0.1,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,0.001,0.1,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,0.00126,0.1,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,0.00158,0.1,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,0.002,0.1,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,0.00251,0.1,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
