x,y
,2.2676954176571207e-06
1.3847299530370951,3.995481390058203e-06
0.7372023454133383,5.458975240375779e-06
0.49949183569278766,7.372811547682248e-06
0.3488861827616593,9.957619454640043e-06
0.23198959137115444,1.4414445432924694e-05
0.167030409273247,1.9923257010181114e-05
0.12477673525699622,2.629310985472021e-05
0.0953973799506603,3.510297793566154e-05
0.0708164045048641,4.740960673514399e-05
0.0515497868594587,6.552821966930393e-05
0.039513699805580005,8.748435091643663e-05
0.03060556643965125,0.00011679718591310086
0.027074843233084393,0.00013731360797865033
0.023708594726033153,0.0001633107531499432
0.02162680614035284,0.00018545373627472598
0.02013496320653309,0.00021059904283631436
0.018938480459177863,0.0002419343784759451
0.01781315006061362,0.00027793189883973027
0.017275829511662708,0.00031198893859397063
0.01710034652060968,0.0003542909038299181
0.017995945289251095,0.00039770477408616813
0.018938480459177863,0.0004516291787946127
0.020341602410732015,0.0005011438538671259
0.02207301274007302,0.0005560875947444783
0.02395195599942028,0.0005960238130530381
0.026257835423160406,0.0006388286708276049
0.030294505695046076,0.0006926674942944061
0.03495301084811134,0.000742412391553074
0.04376718079319238,0.0008143404485948963
0.05537851064658905,0.0008932364127198392
0.0672772267011233,0.0009685169149526123
0.08607080288416775,0.0010501410085318689
0.10685117802285803,0.0011386451731760225
0.12739015565055198,0.001206393005350592
0.15362049940735067,0.0012781717409817257
0.18751747316293568,0.0013699654550765937
0.22951261415993135,0.0014514765279919667
0.2699700458678656,0.001520163898884328
0.32964179036743835,0.0016106115740035164
0.41059099415730976,0.0016868281115712009
0.5058824900403478,0.0017871920796468
0.626476834079441,0.0018289912227152925
0.8549471824593275,0.001960342818120615
1.2417074910807198,0.0020295157208855647
2.579473619281238,0.002101127614408071
,0.0021502691335318343
,0.0022261418368819817
,0.002278207209255934
