ctau_m, br_hxx
638589.1330051109, 1
205708.74016135954, 0.32539540232248004
110196.73312733059, 0.17281784597344924
60412.20705071218, 0.09758019798385051
33119.20616870049, 0.05289369408871623
15805.021534048727, 0.02485363820354504
8273.138482494434, 0.013199801523748177
4750.147078655829, 0.007453158192579334
2665.0357951539218, 0.004383732157111155
1461.0270714423245, 0.0024252229365209154
764.7759657963431, 0.0012880392460348801
429.07204563809165, 0.0007575868537523631
240.72777987518973, 0.00045477985113117085
174.16617400592807, 0.0003559739064072105
123.12929856168502, 0.00027300462246734837
95.48162333559125, 0.0002271867328962631
74.04200707139108, 0.00019693647420505918
56.10425479222617, 0.00017423462459087983
42.51225867789629, 0.00015414985044405084
33.73747498431522, 0.0001449931314732343
26.162001378839186, 0.00014206332596486247
20.762008289084974, 0.00015732879668903474
16.10004102835355, 0.00017423462459087983
13.075736249807106, 0.0002009977850877562
10.61951187641228, 0.00023665364216031283
9.244081072605708, 0.0002786348612449034
8.046780789030187, 0.00033482855328150184
6.844494107279785, 0.0004455906834106218
5.958000627995178, 0.0005929927438566163
4.951980831996621, 0.0009291480412839051
4.115836661226632, 0.0014858862557813142
3.500874551644583, 0.002189905750372049
2.977801417397011, 0.003574304314315549
2.532877288407615, 0.005487336716418716
2.256385747096361, 0.007763738590096648
2.010076312421911, 0.011211024739209775
1.7497328135603587, 0.0165228515234916
1.558730144493695, 0.024351451817428385
1.4210525540714083, 0.03307528442189698
1.2659289668539147, 0.0477614668321857
1.1541155927136564, 0.07039108893972358
1.028131124164305, 0.09959257866663725
0.9816749887696684, 0.13806099167373997
0.854529218361961, 0.20767105073862396
0.797271297221995, 0.2998819783059467
0.7438512678717474, 0.4330366851133665
0.7102403262306121, 0.6003006109182412
0.662651683311734, 0.832171420353912
0.6327097473116573, 0.9797936783443149
