x, y
10, 0.00006775403341923056
2.449503075460872, 0.00007061882565648373
1.7608936926878216, 0.00007360486400449468
1.2363730676858593, 0.00008686574520610576
0.8088159047097142, 0.00010251590995888182
0.49298396844283715, 0.00014882025716230098
0.010565515180248411, 0.006446922367415211
0.007245499420271936, 0.010167025077514432
0.005208629602201911, 0.015383317786367137
0.004114664285454858, 0.022331648910835195
0.0038336933735081354, 0.02528586601395362
0.0038336933735081354, 0.02528586601395362
0.0033280059166169245, 0.041562816219073644
0.0032504638407846367, 0.04706109281380285
0.0032504638407846367, 0.04706109281380285
0.0032504638407846367, 171.32194109436068
