filename,filepath,scan,run,mass,CaPhi,generated_events_index,nLLP_original,nLLP_original_weighted,nLLP_LLPdecay,nLLP_LLPdecay_weighted,nLLP_InCavern,nLLP_InCavern_weighted,nLLP_NotInATLAS,nLLP_NotInATLAS_weighted,nLLP_Geometry,nLLP_Geometry_weighted,nLLP_Tracker,nLLP_Tracker_weighted,nLLP_MET,nLLP_MET_weighted,nLLP_IsoJet,nLLP_IsoJet_weighted,nLLP_IsoCharged,nLLP_IsoCharged_weighted,nLLP_IsoAll,nLLP_IsoAll_weighted,nLLP_Final,nLLP_Final_weighted,n_surviving_llps,status,acceptance,cross_section_pb,N_signal
ALP_W-_sampledfs_Scan_12_Run_1.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_12_Run_1.pkl.gz,12,1,31.6,1e-05,1,2000,1.3083461800000002e-11,2000,1.3083461800000002e-11,2000,1.3083461800000002e-11,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success,0.0,6.541731e-15,0.0
ALP_W-_sampledfs_Scan_12_Run_2.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_12_Run_2.pkl.gz,12,2,31.6,3.16e-06,1,2000,1.3144004199999997e-12,2000,1.3144004199999997e-12,1991,1.3084856181099996e-12,6,3.9432012600000004e-15,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success,0.0,6.572003e-16,0.0
ALP_W-_sampledfs_Scan_12_Run_3.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_12_Run_3.pkl.gz,12,3,31.6,1e-06,1,2000,1.31068766e-13,2000,1.31068766e-13,1651,1.08197266333e-13,141,9.240348003e-15,27,1.769428341e-15,18,1.1796188940000001e-15,18,1.1796188940000001e-15,18,1.1796188940000001e-15,18,1.1796188940000001e-15,18,1.1796188940000001e-15,18,1.1796188940000001e-15,18,success,0.009,6.553438e-17,8.8471413e-13
ALP_W-_sampledfs_Scan_12_Run_4.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_12_Run_4.pkl.gz,12,4,31.6,3.16e-07,1,2000,1.3092669200000002e-14,2000,1.3092669200000002e-14,518,3.391001322800001e-15,143,9.361258478000005e-16,31,2.0293637259999992e-16,26,1.7020469959999994e-16,23,1.505656957999999e-16,23,1.505656957999999e-16,23,1.505656957999999e-16,23,1.505656957999999e-16,23,1.505656957999999e-16,23,success,0.0115,6.546334e-18,1.1292426149999999e-13
ALP_W-_sampledfs_Scan_12_Run_5.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_12_Run_5.pkl.gz,12,5,31.6,1e-07,1,2000,1.3139128000000004e-15,2000,1.3139128000000004e-15,67,4.40160788e-17,19,1.2482171600000002e-17,3,1.9708692000000002e-18,2,1.3139128000000001e-18,2,1.3139128000000001e-18,2,1.3139128000000001e-18,2,1.3139128000000001e-18,2,1.3139128000000001e-18,2,1.3139128000000001e-18,2,success,0.001,6.569564e-19,9.854346e-16
ALP_W-_sampledfs_Scan_12_Run_6.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_12_Run_6.pkl.gz,12,6,31.6,3.16e-08,1,2000,1.3085881200000003e-16,2000,1.3085881200000003e-16,9,5.8886465400000015e-19,2,1.3085881200000005e-19,1,6.542940600000001e-20,1,6.542940600000001e-20,1,6.542940600000001e-20,1,6.542940600000001e-20,1,6.542940600000001e-20,1,6.542940600000001e-20,1,6.542940600000001e-20,1,success,0.0005,6.54294e-20,4.9072049999999996e-17
ALP_W-_sampledfs_Scan_1_Run_1.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_1_Run_1.pkl.gz,1,1,0.0562,1.0,1,2000,0.53966214,2000,0.53966214,1985,0.5356146739500001,12,0.00323797284,2,0.00053966214,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success,0.0,0.0002698311,0.0
ALP_W-_sampledfs_Scan_1_Run_2.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_1_Run_2.pkl.gz,1,2,0.0562,0.316,1,2000,0.0543056959999999,2000,0.0543056959999999,1596,0.0433359454079999,123,0.0033398003039999,20,0.0005430569599999,6,0.0001629170879999,5,0.0001357642399999,5,0.0001357642399999,5,0.0001357642399999,5,0.0001357642399999,5,0.0001357642399999,5,success,0.0025,2.715285e-05,0.10182318750000001
ALP_W-_sampledfs_Scan_1_Run_3.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_1_Run_3.pkl.gz,1,3,0.0562,0.1,1,2000,0.0054042399999999,2000,0.0054042399999999,637,0.00172125044,128,0.0003458713599999,21,5.674451999999999e-05,4,1.080848e-05,1,2.70212e-06,1,2.70212e-06,1,2.70212e-06,1,2.70212e-06,1,2.70212e-06,1,success,0.0005,2.702119e-06,0.00202658925
ALP_W-_sampledfs_Scan_1_Run_4.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_1_Run_4.pkl.gz,1,4,0.0562,0.0316,1,2000,0.00053903784,2000,0.00053903784,139,3.746312988e-05,39,1.0511237879999998e-05,9,2.42567028e-06,3,8.0855676e-07,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success,0.0,2.695189e-07,0.0
