filename,filepath,scan,run,mass,CaPhi,generated_events_index,nLLP_original,nLLP_original_weighted,nLLP_LLPdecay,nLLP_LLPdecay_weighted,nLLP_InCavern,nLLP_InCavern_weighted,nLLP_NotInATLAS,nLLP_NotInATLAS_weighted,nLLP_Geometry,nLLP_Geometry_weighted,nLLP_Tracker,nLLP_Tracker_weighted,nLLP_MET,nLLP_MET_weighted,nLLP_IsoJet,nLLP_IsoJet_weighted,nLLP_IsoCharged,nLLP_IsoCharged_weighted,nLLP_IsoAll,nLLP_IsoAll_weighted,nLLP_Final,nLLP_Final_weighted,n_surviving_llps,status
ALP_W-_sampledfs_Scan_5_Run_7.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_5_Run_7.pkl.gz,5,7,0.562,0.0001,1,2000,5.311083199999999e-09,2000,5.311083199999999e-09,44,1.1684383040000002e-10,16,4.2488665600000005e-11,4,1.0622166400000001e-11,1,2.6555416000000003e-12,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_W-_sampledfs_Scan_5_Run_8.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_5_Run_8.pkl.gz,5,8,0.562,3.16e-05,1,2000,5.293340000000002e-10,2000,5.293340000000002e-10,8,2.1173360000000005e-12,1,2.6466700000000006e-13,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_W-_sampledfs_Scan_5_Run_9.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_5_Run_9.pkl.gz,5,9,0.562,1e-05,1,2000,5.318369799999998e-11,2000,5.318369799999998e-11,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_W-_sampledfs_Scan_6_Run_1.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_6_Run_1.pkl.gz,6,1,1.0,0.01,1,2000,4.9289829999999985e-05,2000,4.9289829999999985e-05,2000,4.9289829999999985e-05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_W-_sampledfs_Scan_6_Run_2.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_6_Run_2.pkl.gz,6,2,1.0,0.00316,1,2000,4.9187292e-06,2000,4.9187292e-06,1991,4.8965949186e-06,10,2.4593646e-08,1,2.4593646000000003e-09,1,2.4593646000000003e-09,1,2.4593646000000003e-09,1,2.4593646000000003e-09,1,2.4593646000000003e-09,1,2.4593646000000003e-09,1,2.4593646000000003e-09,1,success
ALP_W-_sampledfs_Scan_6_Run_3.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_6_Run_3.pkl.gz,6,3,1.0,0.001,1,2000,4.923965e-07,2000,4.923965e-07,1672,4.116434740000001e-07,114,2.8066600500000006e-08,22,5.416361499999998e-09,12,2.9543790000000004e-09,12,2.9543790000000004e-09,12,2.9543790000000004e-09,12,2.9543790000000004e-09,12,2.9543790000000004e-09,12,2.9543790000000004e-09,12,success
ALP_W-_sampledfs_Scan_6_Run_4.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_6_Run_4.pkl.gz,6,4,1.0,0.000316,1,2000,4.9146924e-08,2000,4.9146924e-08,716,1.7594598792e-08,145,3.5631519899999996e-09,28,6.880569360000002e-10,22,5.406161640000002e-10,9,2.21161158e-10,9,2.21161158e-10,9,2.21161158e-10,9,2.21161158e-10,9,2.21161158e-10,9,success
ALP_W-_sampledfs_Scan_6_Run_5.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_6_Run_5.pkl.gz,6,5,1.0,0.0001,1,2000,4.948143199999998e-09,2000,4.948143199999998e-09,128,3.166811647999999e-10,41,1.014369356e-10,7,1.73185012e-11,3,7.4222148e-12,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_W-_sampledfs_Scan_6_Run_6.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_6_Run_6.pkl.gz,6,6,1.0,3.16e-05,1,2000,4.9084922e-10,2000,4.9084922e-10,15,3.681369149999999e-12,6,1.4725476599999998e-12,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_W-_sampledfs_Scan_6_Run_7.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_6_Run_7.pkl.gz,6,7,1.0,1e-05,1,2000,4.8993875999999986e-11,2000,4.8993875999999986e-11,2,4.8993876000000004e-14,1,2.4496938000000002e-14,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_W-_sampledfs_Scan_6_Run_8.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_6_Run_8.pkl.gz,6,8,1.0,3.16e-06,1,2000,4.919176000000002e-12,2000,4.919176000000002e-12,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_W-_sampledfs_Scan_7_Run_1.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_7_Run_1.pkl.gz,7,1,1.78,0.00316,1,2000,4.404916600000001e-06,2000,4.404916600000001e-06,2000,4.404916600000001e-06,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_W-_sampledfs_Scan_7_Run_2.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_7_Run_2.pkl.gz,7,2,1.78,0.001,1,2000,4.4107604e-07,2000,4.4107604e-07,1887,4.1615524374000006e-07,32,7.0572166400000005e-09,2,4.4107604000000003e-10,1,2.2053802000000002e-10,1,2.2053802000000002e-10,1,2.2053802000000002e-10,1,2.2053802000000002e-10,1,2.2053802000000002e-10,1,2.2053802000000002e-10,1,success
ALP_W-_sampledfs_Scan_7_Run_3.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_7_Run_3.pkl.gz,7,3,1.78,0.000316,1,2000,4.408051999999999e-08,2000,4.408051999999999e-08,1211,2.669075486e-08,148,3.26195848e-09,26,5.730467599999999e-10,15,3.306038999999999e-10,9,1.9836234e-10,9,1.9836234e-10,9,1.9836234e-10,9,1.9836234e-10,9,1.9836234e-10,9,success
ALP_W-_sampledfs_Scan_7_Run_4.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_7_Run_4.pkl.gz,7,4,1.78,0.0001,1,2000,4.405930000000002e-09,2000,4.405930000000002e-09,331,7.291814150000002e-10,84,1.8504906000000005e-10,23,5.0668195000000016e-11,9,1.9826685000000003e-11,1,2.202965e-12,1,2.202965e-12,1,2.202965e-12,1,2.202965e-12,1,2.202965e-12,1,success
ALP_W-_sampledfs_Scan_7_Run_5.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_7_Run_5.pkl.gz,7,5,1.78,3.16e-05,1,2000,4.4240933999999993e-10,2000,4.4240933999999993e-10,33,7.299754110000002e-12,9,1.9908420300000002e-12,1,2.2120467000000004e-13,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_W-_sampledfs_Scan_7_Run_6.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_7_Run_6.pkl.gz,7,6,1.78,1e-05,1,2000,4.407630600000002e-11,2000,4.407630600000002e-11,6,1.3222891800000001e-13,2,4.407630600000001e-14,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_W-_sampledfs_Scan_7_Run_7.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_7_Run_7.pkl.gz,7,7,1.78,3.16e-06,1,2000,4.3848166e-12,2000,4.3848166e-12,1,2.1924083000000004e-15,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_W-_sampledfs_Scan_7_Run_8.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_7_Run_8.pkl.gz,7,8,1.78,1e-06,1,2000,4.4071336000000015e-13,2000,4.4071336000000015e-13,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
