mass,CaPhi,N_signal_h,N_signal_p,N_signal
0.1,1.26e-05,0.0,0.0,0.0
0.1,1.58e-05,0.0,0.0,0.0
0.1,2e-05,0.0,0.0,0.0
0.1,2.51e-05,0.0,0.0,0.0
0.1,3.16e-05,0.0,0.0,0.0
0.1,3.98e-05,0.0,0.0,0.0
0.1,5.01e-05,0.0,0.0,0.0
0.1,6.31e-05,0.0,0.0,0.0
0.1,7.94e-05,0.0,0.0,0.0
0.1,0.0001,0.0,0.0,0.0
0.1,0.000126,0.0,0.0,0.0
0.1,0.000158,0.0,0.0,0.0
0.1,0.0002,0.0,0.0,0.0
0.1,0.000251,0.0,0.0,0.0
0.1,0.000316,0.0,0.0,0.0
0.1,0.000398,0.0,0.0,0.0
0.1,0.000501,0.0,0.0,0.0
0.1,0.000631,0.0,0.0,0.0
0.1,0.000794,0.0,0.0,0.0
0.1,0.001,0.0,0.0,0.0
0.1,0.00126,0.0,0.0,0.0
0.1,0.00158,0.0,0.0,0.0
0.1,0.002,0.0,0.0,0.0
0.1,0.00251,2.1858417477687913e-08,0.0,2.1858417477687913e-08
0.1,0.00316,1.1404312056005102e-05,2.4569204600653474e-11,1.1404336625209703e-05
0.1,0.00398,8.243823318363428e-08,3.8181962617708095e-11,8.247641514625199e-08
0.1,0.00501,4.3542837537008174e-08,3.5774442359884575e-10,4.390058196060702e-08
0.1,0.00631,4.03193295382855e-05,5.667263629504134e-10,4.031989626464845e-05
0.1,0.00794,0.0001356222343821,1.0486600109538832e-09,0.00013562328304211096
0.1,0.01,0.0002800012164649,2.1178026858174523e-09,0.0002800033342675858
0.1,0.0126,0.0008457819247908,1.0920173636305971e-08,0.0008457928449644364
0.1,0.0158,0.0014884319095,1.5262662099843847e-08,0.0014884471721620998
0.1,0.02,0.0032551378884614,3.954067981925279e-08,0.0032551774291412192
0.1,0.0251,0.0062573577951943,8.078719315466903e-08,0.006257438582387455
0.1,0.0316,0.0170504243291288,3.35045270091687e-07,0.01705075937439889
0.1,0.0398,0.0472856573273267,7.202853174861702e-07,0.04728637761264419
0.1,0.0501,0.1012493664004976,1.4095999406905563e-06,0.10125077600043829
0.1,0.0631,0.2092779804664316,2.5567641642557792e-06,0.20928053723059584
0.1,0.0794,0.3996720986979462,5.101628296584418e-06,0.39967720032624277
0.1,0.1,0.6055571501035042,1.1159712823169444e-05,0.6055683098163274
0.1,0.126,0.8473155583336051,1.8572092877318813e-05,0.8473341304264824
0.1,0.158,0.9207063675040742,2.958815988467089e-05,0.9207359556639588
0.1,0.2,0.8051386046663013,3.780154174874665e-05,0.80517640620805
