C_Zh,mass,CaPhi,BR_mu,acceptance,cross_section_pb,BR_h_to_Za,N_signal
0.001,1.0,3.16e-07,1.0,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,3.98e-07,1.0,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,5.01e-07,1.0,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,6.31e-07,1.0,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,7.94e-07,1.0,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,1e-06,1.0,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,1.26e-06,1.0,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,1.58e-06,1.0,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,2e-06,1.0,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,2.51e-06,1.0,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,3.16e-06,1.0,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,3.98e-06,1.0,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,5.01e-06,1.0,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,6.31e-06,1.0,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,7.94e-06,1.0,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,1e-05,1.0,3.3333333333333335e-05,5.331062748960671e-05,9.762063264897768e-07,0.0021324250995842686
0.001,1.0,1.26e-05,1.0,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,1.58e-05,1.0,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,2e-05,1.0,3.3333333333333335e-05,5.331062748960671e-05,9.762063264897768e-07,0.0021324250995842686
0.001,1.0,2.51e-05,1.0,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,3.16e-05,1.0,0.00013333333333333334,5.331062748960671e-05,9.762063264897768e-07,0.008529700398337075
0.001,1.0,3.98e-05,1.0,6.666666666666667e-05,5.331062748960671e-05,9.762063264897768e-07,0.004264850199168537
0.001,1.0,5.01e-05,1.0,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,6.31e-05,1.0,0.0004,5.331062748960671e-05,9.762063264897768e-07,0.025589101195011222
0.001,1.0,7.94e-05,1.0,0.0003333333333333333,5.331062748960671e-05,9.762063264897768e-07,0.021324250995842686
0.001,1.0,0.0001,1.0,0.0006333333333333333,5.331062748960671e-05,9.762063264897768e-07,0.0405160768921011
0.001,1.0,0.000126,1.0,0.0006,5.331062748960671e-05,9.762063264897768e-07,0.03838365179251683
0.001,1.0,0.000158,1.0,0.0013,5.331062748960671e-05,9.762063264897768e-07,0.08316457888378648
0.001,1.0,0.0002,1.0,0.0017,5.331062748960671e-05,9.762063264897768e-07,0.1087536800787977
0.001,1.0,0.000251,1.0,0.0018,5.331062748960671e-05,9.762063264897768e-07,0.11515095537755049
0.001,1.0,0.000316,1.0,0.0018333333333333333,5.331062748960671e-05,9.762063264897768e-07,0.11728338047713477
0.001,1.0,0.000398,1.0,0.0012333333333333332,5.331062748960671e-05,9.762063264897768e-07,0.07889972868461793
0.001,1.0,0.000501,1.0,0.0015333333333333334,5.331062748960671e-05,9.762063264897768e-07,0.09809155458087636
0.001,1.0,0.000631,1.0,0.0007666666666666667,5.331062748960671e-05,9.762063264897768e-07,0.04904577729043818
0.001,1.0,0.000794,1.0,0.0002,5.331062748960671e-05,9.762063264897768e-07,0.012794550597505611
0.001,1.0,0.001,1.0,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,0.00126,1.0,6.666666666666667e-05,5.331062748960671e-05,9.762063264897768e-07,0.004264850199168537
0.001,1.0,0.00158,1.0,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,0.002,1.0,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,0.00251,1.0,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,0.00316,1.0,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,0.00398,1.0,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,0.00501,1.0,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.001,1.0,0.00631,1.0,0.0,5.331062748960671e-05,9.762063264897768e-07,0.0
0.0010473708979594498,1.0,3.16e-07,1.0,0.0,5.848099569595742e-05,1.07088437458263e-06,0.0
0.0010473708979594498,1.0,3.98e-07,1.0,0.0,5.848099569595742e-05,1.07088437458263e-06,0.0
0.0010473708979594498,1.0,5.01e-07,1.0,0.0,5.848099569595742e-05,1.07088437458263e-06,0.0
0.0010473708979594498,1.0,6.31e-07,1.0,0.0,5.848099569595742e-05,1.07088437458263e-06,0.0
0.0010473708979594498,1.0,7.94e-07,1.0,0.0,5.848099569595742e-05,1.07088437458263e-06,0.0
0.0010473708979594498,1.0,1e-06,1.0,0.0,5.848099569595742e-05,1.07088437458263e-06,0.0
0.0010473708979594498,1.0,1.26e-06,1.0,0.0,5.848099569595742e-05,1.07088437458263e-06,0.0
0.0010473708979594498,1.0,1.58e-06,1.0,0.0,5.848099569595742e-05,1.07088437458263e-06,0.0
0.0010473708979594498,1.0,2e-06,1.0,0.0,5.848099569595742e-05,1.07088437458263e-06,0.0
0.0010473708979594498,1.0,2.51e-06,1.0,0.0,5.848099569595742e-05,1.07088437458263e-06,0.0
0.0010473708979594498,1.0,3.16e-06,1.0,0.0,5.848099569595742e-05,1.07088437458263e-06,0.0
0.0010473708979594498,1.0,3.98e-06,1.0,0.0,5.848099569595742e-05,1.07088437458263e-06,0.0
0.0010473708979594498,1.0,5.01e-06,1.0,0.0,5.848099569595742e-05,1.07088437458263e-06,0.0
0.0010473708979594498,1.0,6.31e-06,1.0,0.0,5.848099569595742e-05,1.07088437458263e-06,0.0
0.0010473708979594498,1.0,7.94e-06,1.0,0.0,5.848099569595742e-05,1.07088437458263e-06,0.0
0.0010473708979594498,1.0,1e-05,1.0,3.3333333333333335e-05,5.848099569595742e-05,1.07088437458263e-06,0.0023392398278382974
0.0010473708979594498,1.0,1.26e-05,1.0,0.0,5.848099569595742e-05,1.07088437458263e-06,0.0
0.0010473708979594498,1.0,1.58e-05,1.0,0.0,5.848099569595742e-05,1.07088437458263e-06,0.0
0.0010473708979594498,1.0,2e-05,1.0,3.3333333333333335e-05,5.848099569595742e-05,1.07088437458263e-06,0.0023392398278382974
0.0010473708979594498,1.0,2.51e-05,1.0,0.0,5.848099569595742e-05,1.07088437458263e-06,0.0
0.0010473708979594498,1.0,3.16e-05,1.0,0.00013333333333333334,5.848099569595742e-05,1.07088437458263e-06,0.00935695931135319
0.0010473708979594498,1.0,3.98e-05,1.0,6.666666666666667e-05,5.848099569595742e-05,1.07088437458263e-06,0.004678479655676595
0.0010473708979594498,1.0,5.01e-05,1.0,0.0,5.848099569595742e-05,1.07088437458263e-06,0.0
0.0010473708979594498,1.0,6.31e-05,1.0,0.0004,5.848099569595742e-05,1.07088437458263e-06,0.028070877934059563
0.0010473708979594498,1.0,7.94e-05,1.0,0.0003333333333333333,5.848099569595742e-05,1.07088437458263e-06,0.023392398278382968
0.0010473708979594498,1.0,0.0001,1.0,0.0006333333333333333,5.848099569595742e-05,1.07088437458263e-06,0.04444555672892764
0.0010473708979594498,1.0,0.000126,1.0,0.0006,5.848099569595742e-05,1.07088437458263e-06,0.04210631690108935
0.0010473708979594498,1.0,0.000158,1.0,0.0013,5.848099569595742e-05,1.07088437458263e-06,0.09123035328569358
0.0010473708979594498,1.0,0.0002,1.0,0.0017,5.848099569595742e-05,1.07088437458263e-06,0.11930123121975314
0.0010473708979594498,1.0,0.000251,1.0,0.0018,5.848099569595742e-05,1.07088437458263e-06,0.12631895070326804
0.0010473708979594498,1.0,0.000316,1.0,0.0018333333333333333,5.848099569595742e-05,1.07088437458263e-06,0.12865819053110633
0.0010473708979594498,1.0,0.000398,1.0,0.0012333333333333332,5.848099569595742e-05,1.07088437458263e-06,0.08655187363001698
0.0010473708979594498,1.0,0.000501,1.0,0.0015333333333333334,5.848099569595742e-05,1.07088437458263e-06,0.10760503208056167
0.0010473708979594498,1.0,0.000631,1.0,0.0007666666666666667,5.848099569595742e-05,1.07088437458263e-06,0.053802516040280836
0.0010473708979594498,1.0,0.000794,1.0,0.0002,5.848099569595742e-05,1.07088437458263e-06,0.014035438967029782
0.0010473708979594498,1.0,0.001,1.0,0.0,5.848099569595742e-05,1.07088437458263e-06,0.0
0.0010473708979594498,1.0,0.00126,1.0,6.666666666666667e-05,5.848099569595742e-05,1.07088437458263e-06,0.004678479655676595
0.0010473708979594498,1.0,0.00158,1.0,0.0,5.848099569595742e-05,1.07088437458263e-06,0.0
0.0010473708979594498,1.0,0.002,1.0,0.0,5.848099569595742e-05,1.07088437458263e-06,0.0
0.0010473708979594498,1.0,0.00251,1.0,0.0,5.848099569595742e-05,1.07088437458263e-06,0.0
0.0010473708979594498,1.0,0.00316,1.0,0.0,5.848099569595742e-05,1.07088437458263e-06,0.0
0.0010473708979594498,1.0,0.00398,1.0,0.0,5.848099569595742e-05,1.07088437458263e-06,0.0
0.0010473708979594498,1.0,0.00501,1.0,0.0,5.848099569595742e-05,1.07088437458263e-06,0.0
0.0010473708979594498,1.0,0.00631,1.0,0.0,5.848099569595742e-05,1.07088437458263e-06,0.0
0.001096985797892384,1.0,3.16e-07,1.0,0.0,6.415281506212264e-05,1.1747448280923392e-06,0.0
0.001096985797892384,1.0,3.98e-07,1.0,0.0,6.415281506212264e-05,1.1747448280923392e-06,0.0
0.001096985797892384,1.0,5.01e-07,1.0,0.0,6.415281506212264e-05,1.1747448280923392e-06,0.0
0.001096985797892384,1.0,6.31e-07,1.0,0.0,6.415281506212264e-05,1.1747448280923392e-06,0.0
0.001096985797892384,1.0,7.94e-07,1.0,0.0,6.415281506212264e-05,1.1747448280923392e-06,0.0
0.001096985797892384,1.0,1e-06,1.0,0.0,6.415281506212264e-05,1.1747448280923392e-06,0.0
