filename,filepath,scan,run,mass,CaPhi,nLLP_original,nLLP_original_weighted,nLLP_LLPdecay,nLLP_LLPdecay_weighted,nLLP_InCavern,nLLP_InCavern_weighted,nLLP_NotInATLAS,nLLP_NotInATLAS_weighted,nLLP_Geometry,nLLP_Geometry_weighted,nLLP_Tracker,nLLP_Tracker_weighted,nLLP_MET,nLLP_MET_weighted,nLLP_IsoJet,nLLP_IsoJet_weighted,nLLP_IsoCharged,nLLP_IsoCharged_weighted,nLLP_IsoAll,nLLP_IsoAll_weighted,nLLP_Final,nLLP_Final_weighted,n_surviving_llps,status
ALP_W+_sampledfs_Scan_4_Run_5.pkl.gz,/usera/fs568/set-anubis/ALP_W+_Runs/ALP_W+_sampledfs_Scan_4_Run_5.pkl.gz,4,5,1.0,0.0001,2000,4.488129e-09,2000,4.488129e-09,141,3.164130945e-10,33,7.405412850000001e-11,14,3.1416903e-11,13,2.91728385e-11,2,4.4881290000000004e-12,2,4.4881290000000004e-12,2,4.4881290000000004e-12,2,4.4881290000000004e-12,2,4.4881290000000004e-12,2,success
ALP_W+_sampledfs_Scan_4_Run_6.pkl.gz,/usera/fs568/set-anubis/ALP_W+_Runs/ALP_W+_sampledfs_Scan_4_Run_6.pkl.gz,4,6,1.0,1e-05,2000,4.494469600000001e-11,2000,4.494469600000001e-11,5,1.1236174000000003e-13,4,8.988939200000002e-14,1,2.2472348000000004e-14,1,2.2472348000000004e-14,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_W+_sampledfs_Scan_4_Run_7.pkl.gz,/usera/fs568/set-anubis/ALP_W+_Runs/ALP_W+_sampledfs_Scan_4_Run_7.pkl.gz,4,7,1.0,3.16e-07,2000,4.496652000000002e-14,2000,4.496652000000002e-14,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_W+_sampledfs_Scan_5_Run_1.pkl.gz,/usera/fs568/set-anubis/ALP_W+_Runs/ALP_W+_sampledfs_Scan_5_Run_1.pkl.gz,5,1,3.16,0.01,2000,3.482010200000001e-05,2000,3.482010200000001e-05,2000,3.482010200000001e-05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_W+_sampledfs_Scan_5_Run_2.pkl.gz,/usera/fs568/set-anubis/ALP_W+_Runs/ALP_W+_sampledfs_Scan_5_Run_2.pkl.gz,5,2,3.16,0.001,2000,3.4783966000000006e-07,2000,3.4783966000000006e-07,2000,3.4783966000000006e-07,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_W+_sampledfs_Scan_5_Run_3.pkl.gz,/usera/fs568/set-anubis/ALP_W+_Runs/ALP_W+_sampledfs_Scan_5_Run_3.pkl.gz,5,3,3.16,0.0001,2000,3.471122399999999e-09,2000,3.471122399999999e-09,1972,3.4225266863999992e-09,9,1.56200508e-11,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_W+_sampledfs_Scan_5_Run_4.pkl.gz,/usera/fs568/set-anubis/ALP_W+_Runs/ALP_W+_sampledfs_Scan_5_Run_4.pkl.gz,5,4,3.16,1e-05,2000,3.4750640000000004e-11,2000,3.4750640000000004e-11,511,8.87878852e-12,82,1.4247762400000003e-12,22,3.8225704000000006e-13,20,3.4750640000000004e-13,9,1.5637788000000001e-13,9,1.5637788000000001e-13,9,1.5637788000000001e-13,9,1.5637788000000001e-13,9,1.5637788000000001e-13,9,success
ALP_W+_sampledfs_Scan_5_Run_5.pkl.gz,/usera/fs568/set-anubis/ALP_W+_Runs/ALP_W+_sampledfs_Scan_5_Run_5.pkl.gz,5,5,3.16,3.16e-07,2000,3.4550886e-14,2000,3.4550886e-14,1,1.7275443e-17,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_W+_sampledfs_Scan_6_Run_1.pkl.gz,/usera/fs568/set-anubis/ALP_W+_Runs/ALP_W+_sampledfs_Scan_6_Run_1.pkl.gz,6,1,10.0,1.0,2000,0.2294182400000001,2000,0.2294182400000001,2000,0.2294182400000001,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_W+_sampledfs_Scan_6_Run_2.pkl.gz,/usera/fs568/set-anubis/ALP_W+_Runs/ALP_W+_sampledfs_Scan_6_Run_2.pkl.gz,6,2,10.0,0.1,2000,0.0022859713999999996,2000,0.0022859713999999996,2000,0.0022859713999999996,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_W+_sampledfs_Scan_6_Run_3.pkl.gz,/usera/fs568/set-anubis/ALP_W+_Runs/ALP_W+_sampledfs_Scan_6_Run_3.pkl.gz,6,3,10.0,0.01,2000,2.2853885999999996e-05,2000,2.2853885999999996e-05,2000,2.2853885999999996e-05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_W+_sampledfs_Scan_6_Run_4.pkl.gz,/usera/fs568/set-anubis/ALP_W+_Runs/ALP_W+_sampledfs_Scan_6_Run_4.pkl.gz,6,4,10.0,0.001,2000,2.3002191999999997e-07,2000,2.3002191999999997e-07,2000,2.3002191999999997e-07,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_W+_sampledfs_Scan_6_Run_5.pkl.gz,/usera/fs568/set-anubis/ALP_W+_Runs/ALP_W+_sampledfs_Scan_6_Run_5.pkl.gz,6,5,10.0,0.0001,2000,2.2961891999999994e-09,2000,2.2961891999999994e-09,2000,2.2961891999999994e-09,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_W+_sampledfs_Scan_6_Run_6.pkl.gz,/usera/fs568/set-anubis/ALP_W+_Runs/ALP_W+_sampledfs_Scan_6_Run_6.pkl.gz,6,6,10.0,1e-05,2000,2.2896956e-11,2000,2.2896956e-11,1964,2.2484810792e-11,15,1.7172717e-13,1,1.1448478e-14,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_W+_sampledfs_Scan_6_Run_7.pkl.gz,/usera/fs568/set-anubis/ALP_W+_Runs/ALP_W+_sampledfs_Scan_6_Run_7.pkl.gz,6,7,10.0,3.16e-07,2000,2.2872064000000005e-14,2000,2.2872064000000005e-14,54,6.17545728e-16,10,1.1436032e-16,3,3.4308096e-17,2,2.2872064e-17,1,1.1436032e-17,1,1.1436032e-17,1,1.1436032e-17,1,1.1436032e-17,1,1.1436032e-17,1,success
ALP_W+_sampledfs_Scan_7_Run_1.pkl.gz,/usera/fs568/set-anubis/ALP_W+_Runs/ALP_W+_sampledfs_Scan_7_Run_1.pkl.gz,7,1,31.6,1e-05,2000,1.1743329599999996e-11,2000,1.1743329599999996e-11,2000,1.1743329599999996e-11,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_W+_sampledfs_Scan_7_Run_2.pkl.gz,/usera/fs568/set-anubis/ALP_W+_Runs/ALP_W+_sampledfs_Scan_7_Run_2.pkl.gz,7,2,31.6,3.16e-07,2000,1.1767842599999997e-14,2000,1.1767842599999997e-14,519,3.0537551546999996e-15,98,5.766242874e-16,24,1.412141112e-16,22,1.2944626859999997e-16,18,1.0591058339999999e-16,17,1.000266621e-16,17,1.000266621e-16,17,1.000266621e-16,17,1.000266621e-16,17,success
