filename,filepath,scan,run,mass,CaPhi,generated_events_index,nLLP_original,nLLP_original_weighted,nLLP_LLPdecay,nLLP_LLPdecay_weighted,nLLP_InCavern,nLLP_InCavern_weighted,nLLP_NotInATLAS,nLLP_NotInATLAS_weighted,nLLP_Geometry,nLLP_Geometry_weighted,nLLP_Tracker,nLLP_Tracker_weighted,nLLP_MET,nLLP_MET_weighted,nLLP_IsoJet,nLLP_IsoJet_weighted,nLLP_IsoCharged,nLLP_IsoCharged_weighted,nLLP_IsoAll,nLLP_IsoAll_weighted,nLLP_Final,nLLP_Final_weighted,n_surviving_llps,status
ALP_W+_sampledfs_Scan_4_Run_7.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W+_Runs_2/Generated_Events_1/ALP_W+_sampledfs_Scan_4_Run_7.pkl.gz,4,7,0.316,0.000316,1,2000,5.061774000000002e-08,2000,5.061774000000002e-08,127,3.2142264900000003e-09,41,1.0376636700000001e-09,15,3.7963305000000016e-10,12,3.037064400000001e-10,2,5.061774000000001e-11,2,5.061774000000001e-11,2,5.061774000000001e-11,2,5.061774000000001e-11,2,5.061774000000001e-11,2,success
ALP_W+_sampledfs_Scan_4_Run_8.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W+_Runs_2/Generated_Events_1/ALP_W+_sampledfs_Scan_4_Run_8.pkl.gz,4,8,0.316,0.0001,1,2000,5.1173220000000005e-09,2000,5.1173220000000005e-09,10,2.5586610000000003e-11,2,5.117322e-12,1,2.558661e-12,1,2.558661e-12,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_W+_sampledfs_Scan_4_Run_9.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W+_Runs_2/Generated_Events_1/ALP_W+_sampledfs_Scan_4_Run_9.pkl.gz,4,9,0.316,0.0000316,1,2000,5.039785599999998e-10,2000,5.039785599999998e-10,1,2.5198928e-13,1,2.5198928e-13,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_W+_sampledfs_Scan_5_Run_1.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W+_Runs_2/Generated_Events_1/ALP_W+_sampledfs_Scan_5_Run_1.pkl.gz,5,1,0.562,0.1,1,2000,0.0048728768,2000,0.0048728768,2000,0.0048728768,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_W+_sampledfs_Scan_5_Run_2.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W+_Runs_2/Generated_Events_1/ALP_W+_sampledfs_Scan_5_Run_2.pkl.gz,5,2,0.562,0.0316,1,2000,0.00048610821999999995,2000,0.00048610821999999995,2000,0.00048610821999999995,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_W+_sampledfs_Scan_5_Run_3.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W+_Runs_2/Generated_Events_1/ALP_W+_sampledfs_Scan_5_Run_3.pkl.gz,5,3,0.562,0.01,1,2000,4.8304904e-05,2000,4.8304904e-05,2000,4.8304904e-05,1,2.4152452e-08,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_W+_sampledfs_Scan_5_Run_4.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W+_Runs_2/Generated_Events_1/ALP_W+_sampledfs_Scan_5_Run_4.pkl.gz,5,4,0.562,0.00316,1,2000,4.845625e-06,2000,4.845625e-06,1895,4.591229687499999e-06,38,9.206687500000001e-08,4,9.69125e-09,3,7.2684375e-09,3,7.2684375e-09,3,7.2684375e-09,3,7.2684375e-09,3,7.2684375e-09,3,7.2684375e-09,3,success
ALP_W+_sampledfs_Scan_5_Run_5.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W+_Runs_2/Generated_Events_1/ALP_W+_sampledfs_Scan_5_Run_5.pkl.gz,5,5,0.562,0.001,1,2000,4.845453600000002e-07,2000,4.845453600000002e-07,1228,2.9751085104000006e-07,126,3.0526357680000005e-08,31,7.51045308e-09,22,5.329998960000001e-09,16,3.87636288e-09,14,3.391817520000001e-09,14,3.391817520000001e-09,14,3.391817520000001e-09,14,3.391817520000001e-09,14,success
ALP_W+_sampledfs_Scan_5_Run_6.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W+_Runs_2/Generated_Events_1/ALP_W+_sampledfs_Scan_5_Run_6.pkl.gz,5,6,0.562,0.000316,1,2000,4.8483284e-08,2000,4.8483284e-08,332,8.048225144e-09,79,1.915089718e-09,20,4.8483284e-10,11,2.66658062e-10,5,1.2120821e-10,5,1.2120821e-10,5,1.2120821e-10,5,1.2120821e-10,5,1.2120821e-10,5,success
ALP_W+_sampledfs_Scan_5_Run_7.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W+_Runs_2/Generated_Events_1/ALP_W+_sampledfs_Scan_5_Run_7.pkl.gz,5,7,0.562,0.0001,1,2000,4.854372000000001e-09,2000,4.854372000000001e-09,58,1.4077678799999999e-10,15,3.6407790000000004e-11,1,2.427186e-12,1,2.427186e-12,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
