filename,filepath,scan,run,mass,CaPhi,generated_events_index,nLLP_original,nLLP_original_weighted,nLLP_LLPdecay,nLLP_LLPdecay_weighted,nLLP_InCavern,nLLP_InCavern_weighted,nLLP_NotInATLAS,nLLP_NotInATLAS_weighted,nLLP_Geometry,nLLP_Geometry_weighted,nLLP_Tracker,nLLP_Tracker_weighted,nLLP_MET,nLLP_MET_weighted,nLLP_IsoJet,nLLP_IsoJet_weighted,nLLP_IsoCharged,nLLP_IsoCharged_weighted,nLLP_IsoAll,nLLP_IsoAll_weighted,nLLP_Final,nLLP_Final_weighted,n_surviving_llps,status,acceptance,cross_section_pb,N_signal
ALP_W+_sampledfs_Scan_1_Run_6.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W+_Runs_2/Generated_Events_1/ALP_W+_sampledfs_Scan_1_Run_6.pkl.gz,1,6,0.0562,0.00316,1,2000,4.936252200000002e-06,2000,4.936252200000002e-06,4,9.8725044e-09,1,2.4681261e-09,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success,0.0,2.468126e-09,0.0
ALP_W+_sampledfs_Scan_2_Run_1.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W+_Runs_2/Generated_Events_1/ALP_W+_sampledfs_Scan_2_Run_1.pkl.gz,2,1,0.1,1.0,1,2000,0.4985680800000001,2000,0.4985680800000001,1999,0.49831879596,1,0.00024928404,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success,0.0,0.0002492841,0.0
ALP_W+_sampledfs_Scan_2_Run_2.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W+_Runs_2/Generated_Events_1/ALP_W+_sampledfs_Scan_2_Run_2.pkl.gz,2,2,0.1,0.316,1,2000,0.049816846,2000,0.049816846,1877,0.046753109971,53,0.0013201464189999,7,0.0001743589609999,1,2.4908423e-05,1,2.4908423e-05,1,2.4908423e-05,1,2.4908423e-05,1,2.4908423e-05,1,2.4908423e-05,1,success,0.0005,2.490842e-05,0.018681315
ALP_W+_sampledfs_Scan_2_Run_3.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W+_Runs_2/Generated_Events_1/ALP_W+_sampledfs_Scan_2_Run_3.pkl.gz,2,3,0.1,0.1,1,2000,0.0049461574,2000,0.0049461574,1145,0.0028316751115,134,0.0003313925458,22,5.440773140000002e-05,5,1.23653935e-05,3,7.419236100000001e-06,3,7.419236100000001e-06,3,7.419236100000001e-06,3,7.419236100000001e-06,3,7.419236100000001e-06,3,success,0.0015,2.473079e-06,0.005564427750000001
ALP_W+_sampledfs_Scan_2_Run_4.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W+_Runs_2/Generated_Events_1/ALP_W+_sampledfs_Scan_2_Run_4.pkl.gz,2,4,0.1,0.0316,1,2000,0.00049445662,2000,0.00049445662,294,7.268512314e-05,85,2.1014406350000004e-05,14,3.4611963399999994e-06,3,7.4168493e-07,2,4.9445662e-07,2,4.9445662e-07,2,4.9445662e-07,2,4.9445662e-07,2,4.9445662e-07,2,success,0.001,2.472283e-07,0.00037084245
ALP_W+_sampledfs_Scan_2_Run_5.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W+_Runs_2/Generated_Events_1/ALP_W+_sampledfs_Scan_2_Run_5.pkl.gz,2,5,0.1,0.01,1,2000,4.9634736000000027e-05,2000,4.9634736000000027e-05,42,1.0423294560000005e-06,10,2.4817368000000004e-07,3,7.4452104e-08,1,2.4817368e-08,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success,0.0,2.481737e-08,0.0
ALP_W+_sampledfs_Scan_2_Run_6.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W+_Runs_2/Generated_Events_1/ALP_W+_sampledfs_Scan_2_Run_6.pkl.gz,2,6,0.1,0.00316,1,2000,4.9418702e-06,2000,4.9418702e-06,1,2.4709351e-09,1,2.4709351e-09,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success,0.0,2.470935e-09,0.0
ALP_W+_sampledfs_Scan_2_Run_7.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W+_Runs_2/Generated_Events_1/ALP_W+_sampledfs_Scan_2_Run_7.pkl.gz,2,7,0.1,0.001,1,2000,4.961818199999999e-07,2000,4.961818199999999e-07,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success,0.0,2.48091e-10,0.0
ALP_W+_sampledfs_Scan_2_Run_8.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W+_Runs_2/Generated_Events_1/ALP_W+_sampledfs_Scan_2_Run_8.pkl.gz,2,8,0.1,0.000316,1,2000,4.9855414e-08,2000,4.9855414e-08,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success,0.0,2.492771e-11,0.0
ALP_W+_sampledfs_Scan_3_Run_1.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W+_Runs_2/Generated_Events_1/ALP_W+_sampledfs_Scan_3_Run_1.pkl.gz,3,1,0.178,1.0,1,2000,0.50347106,2000,0.50347106,2000,0.50347106,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success,0.0,0.0002517356,0.0
