mass,CaPhi,acceptance,cross_section_pb,Gamma_total_alp_GeV,N_signal
0.0562,0.126,0.00234440529586569,4.68901e-09,3.3603989714103185e-15,1.3191527851640615e-05
0.0562,0.158,0.002514016496373195,7.297342e-09,5.284013600547189e-15,2.2014765801212357e-05
0.0562,0.2,0.0034169486114334824,1.169601e-08,8.4666136845813e-15,4.795759815457455e-05
0.0562,0.251,0.0033616264729517675,1.84152e-08,1.3335128218557659e-14,7.428602858964168e-05
0.0562,0.316,0.0025085995378689593,2.931769e-08,2.1136054402188757e-14,8.825561230246249e-05
0.0562,0.398,0.002300926768972834,4.66284e-08,3.352863685231041e-14,0.0001287462405052475
0.0562,0.501,0.0013597860870714414,7.412082e-08,5.3128212536089755e-14,0.00012094615175799197
0.0562,0.631,0.000592198415318227,1.178589e-07,8.427688428166436e-14,8.375502457337927e-05
0.0562,0.794,0.0004809006683193488,1.846462e-07,1.3344145162131743e-13,0.00010655577717915378
0.0562,1.0,6.124970816243071e-05,2.957332e-07,2.116653421145325e-13,2.1736286632730107e-05
0.1,3.16e-08,0.0,2.896788e-22,3.796731961172533e-28,0.0
0.1,3.98e-08,0.0,4.661861e-22,6.02284819717968e-28,0.0
0.1,5.01e-08,0.0,7.29084e-22,9.543577942099296e-28,0.0
0.1,6.31e-08,0.0,1.157616e-21,1.5138905968518844e-27,0.0
0.1,7.94e-08,0.0,1.836444e-21,2.3970482601684098e-27,0.0
0.1,1e-07,0.0,2.948757e-21,3.802207139453347e-27,0.0
0.1,1.26e-07,0.0,4.53613e-21,6.0363840545961334e-27,0.0
0.1,1.58e-07,0.0,7.23695e-21,9.491829902931337e-27,0.0
0.1,2e-07,0.0,1.179434e-20,1.520882855781339e-26,0.0
0.1,2.51e-07,0.0,1.85588e-20,2.3954285199270035e-26,0.0
0.1,3.16e-07,0.0,2.884281e-20,3.796731961172535e-26,0.0
0.1,3.98e-07,0.0,4.582357e-20,6.022848197179679e-26,0.0
0.1,5.01e-07,0.0,7.303022e-20,9.543577942099299e-26,0.0
0.1,6.31e-07,0.0,1.163564e-19,1.513890596851884e-25,0.0
0.1,7.94e-07,0.0,1.855373e-19,2.397048260168411e-25,0.0
0.1,1e-06,0.0,2.937803e-19,3.802207139453348e-25,0.0
0.1,1.26e-06,0.0,4.594528e-19,6.036384054596135e-25,0.0
0.1,1.58e-06,0.0,7.249145e-19,9.491829902931333e-25,0.0
0.1,2e-06,0.0,1.174839e-18,1.5208828557813391e-24,0.0
0.1,2.51e-06,0.0,1.817049e-18,2.395428519927004e-24,0.0
0.1,3.16e-06,0.0,2.921252e-18,3.796731961172533e-24,0.0
0.1,3.98e-06,0.0,4.616478e-18,6.02284819717968e-24,0.0
0.1,5.01e-06,0.0,7.274642e-18,9.543577942099298e-24,0.0
0.1,6.31e-06,0.0,1.164385e-17,1.513890596851884e-23,0.0
0.1,7.94e-06,0.0,1.845773e-17,2.3970482601684104e-23,0.0
0.1,1e-05,0.0,2.925291e-17,3.802207139453348e-23,0.0
0.1,1.26e-05,0.0,4.609259e-17,6.036384054596134e-23,0.0
0.1,1.58e-05,0.0,7.278698e-17,9.49182990293134e-23,0.0
0.1,2e-05,0.0,1.166936e-16,1.5208828557813392e-22,0.0
0.1,2.51e-05,0.0,1.851749e-16,2.3954285199270034e-22,0.0
0.1,3.16e-05,0.0,2.933815e-16,3.796731961172536e-22,0.0
0.1,3.98e-05,0.0,4.678668e-16,6.022848197179681e-22,0.0
0.1,5.01e-05,0.0,7.361804e-16,9.543577942099293e-22,0.0
0.1,6.31e-05,0.0,1.171898e-15,1.5138905968518841e-21,0.0
0.1,7.94e-05,0.0,1.826058e-15,2.3970482601684106e-21,0.0
0.1,0.0001,0.0,2.89564e-15,3.802207139453348e-21,0.0
0.1,0.000126,0.0,4.630306e-15,6.036384054596134e-21,0.0
0.1,0.000158,0.0,7.239144e-15,9.491829902931336e-21,0.0
0.1,0.0002,0.0,1.20319e-14,1.5208828557813392e-20,0.0
0.1,0.000251,0.0,1.833812e-14,2.395428519927002e-20,0.0
0.1,0.000316,0.0,2.937958e-14,3.7967319611725343e-20,0.0
0.1,0.000398,0.0,4.659286e-14,6.022848197179681e-20,0.0
0.1,0.000501,0.0,7.209265e-14,9.543577942099298e-20,0.0
0.1,0.000631,0.0,1.165923e-13,1.5138905968518845e-19,0.0
0.1,0.000794,0.0,1.860049e-13,2.39704826016841e-19,0.0
0.1,0.001,0.0,2.91393e-13,3.8022071394533476e-19,0.0
0.1,0.00126,0.0,4.629575e-13,6.036384054596134e-19,0.0
0.1,0.00158,0.0,7.363629e-13,9.491829902931335e-19,0.0
0.1,0.002,0.0,1.159835e-12,1.520882855781339e-18,0.0
0.1,0.00251,0.0,1.843587e-12,2.3954285199270035e-18,0.0
0.1,0.00316,6.977937812790003e-06,2.934153e-12,3.796731961172534e-18,2.4569204600653474e-11
0.1,0.00398,6.795778144538967e-06,4.682069e-12,6.022848197179681e-18,3.81819626177081e-11
0.1,0.00501,4.0311271146123336e-05,7.395459e-12,9.543577942099296e-18,3.577444235988458e-10
0.1,0.00631,4.0402350980248856e-05,1.168922e-11,1.513890596851884e-17,5.667263629504135e-10
0.1,0.00794,4.71070492906623e-05,1.855101e-11,2.39704826016841e-17,1.0486600109538832e-09
0.1,0.01,6.023520785862977e-05,2.929907e-11,3.8022071394533477e-17,2.1178026858174523e-09
0.1,0.0126,0.00019384178069433968,4.694625e-11,6.036384054596136e-17,1.0920173636305973e-08
0.1,0.0158,0.00017464648265483736,7.282646e-11,9.491829902931338e-17,1.5262662099843847e-08
0.1,0.02,0.00028079670341001485,1.173467e-10,1.520882855781339e-16,3.954067981925279e-08
0.1,0.0251,0.0003643497974952438,1.847748e-10,2.3954285199270034e-16,8.078719315466902e-08
0.1,0.0316,0.0009474553715261986,2.946887e-10,3.7967319611725352e-16,3.35045270091687e-07
0.1,0.0398,0.0012951999796557395,4.634325e-10,6.022848197179681e-16,7.202853174861702e-07
0.1,0.0501,0.0015908633570325896,7.383831e-10,9.543577942099298e-16,1.4095999406905565e-06
0.1,0.0631,0.001818501868781373,1.171644e-09,1.5138905968518842e-15,2.5567641642557792e-06
0.1,0.0794,0.002308114103787654,1.841918e-09,2.397048260168411e-15,5.101628296584418e-06
0.1,0.1,0.0031906572017128903,2.914685e-09,3.8022071394533474e-15,1.1159712823169444e-05
0.1,0.126,0.003386328577640222,4.570361e-09,6.036384054596135e-15,1.8572092877318813e-05
0.1,0.158,0.0033588883420947865,7.340762e-09,9.491829902931336e-15,2.958815988467089e-05
0.1,0.2,0.002687073213414193,1.172327e-08,1.520882855781339e-14,3.780154174874665e-05
0.1,0.251,0.001758092499804975,1.862923e-08,2.395428519927003e-14,3.930229144817021e-05
0.1,0.316,0.0014015323600791683,2.905746e-08,3.796731961172534e-14,4.8869964590047243e-05
0.1,0.398,0.0003370005223498027,4.593536e-08,6.022848197179682e-14,1.857628837719148e-05
0.1,0.501,0.0002870460025498007,7.296701e-08,9.543577942099294e-14,2.5133866246213603e-05
0.1,0.631,0.00010009107983412552,1.156365e-07,1.5138905968518842e-13,1.3889018583886629e-05
0.1,0.794,0.0,1.833746e-07,2.397048260168411e-13,0.0
0.1,1.0,0.0,2.862537e-07,3.802207139453347e-13,0.0
0.178,3.16e-08,0.0,2.905812e-22,6.778213642225725e-28,0.0
0.178,3.98e-08,0.0,4.672129e-22,1.075244505871579e-27,0.0
0.178,5.01e-08,0.0,7.373732e-22,1.7037918626945794e-27,0.0
0.178,6.31e-08,0.0,1.169359e-21,2.7027122276099957e-27,0.0
0.178,7.94e-08,0.0,1.853131e-21,4.2793922205478066e-27,0.0
0.178,1e-07,0.0,2.895028e-21,6.787988345443163e-27,0.0
0.178,1.26e-07,0.0,4.67948e-21,1.0776610297225566e-26,0.0
0.178,1.58e-07,0.0,7.165507e-21,1.6945534105564318e-26,0.0
0.178,2e-07,0.0,1.168121e-20,2.7151953381772654e-26,0.0
0.178,2.51e-07,0.0,1.839309e-20,4.276500537512648e-26,0.0
0.178,3.16e-07,0.0,2.90326e-20,6.778213642225727e-26,0.0
0.178,3.98e-07,0.0,4.712395e-20,1.075244505871579e-25,0.0
0.178,5.01e-07,0.0,7.365579e-20,1.7037918626945804e-25,0.0
0.178,6.31e-07,0.0,1.179627e-19,2.7027122276099954e-25,0.0
0.178,7.94e-07,0.0,1.840758e-19,4.279392220547808e-25,0.0
0.178,1e-06,0.0,2.924347e-19,6.787988345443164e-25,0.0
0.178,1.26e-06,0.0,4.634072e-19,1.0776610297225568e-24,0.0
0.178,1.58e-06,0.0,7.290363e-19,1.694553410556431e-24,0.0
0.178,2e-06,0.0,1.181213e-18,2.7151953381772656e-24,0.0
0.178,2.51e-06,0.0,1.854326e-18,4.276500537512649e-24,0.0
0.178,3.16e-06,0.0,2.912239e-18,6.778213642225724e-24,0.0
0.178,3.98e-06,0.0,4.715168e-18,1.075244505871579e-23,0.0
0.178,5.01e-06,0.0,7.36292e-18,1.7037918626945798e-23,0.0
0.178,6.31e-06,0.0,1.160203e-17,2.7027122276099954e-23,0.0
0.178,7.94e-06,0.0,1.853688e-17,4.279392220547807e-23,0.0
0.178,1e-05,0.0,2.942331e-17,6.787988345443164e-23,0.0
0.178,1.26e-05,0.0,4.684499e-17,1.0776610297225568e-22,0.0
0.178,1.58e-05,0.0,7.240802e-17,1.6945534105564321e-22,0.0
0.178,2e-05,0.0,1.175611e-16,2.7151953381772657e-22,0.0
0.178,2.51e-05,0.0,1.84137e-16,4.276500537512648e-22,0.0
0.178,3.16e-05,0.0,2.93104e-16,6.778213642225729e-22,0.0
0.178,3.98e-05,0.0,4.643144e-16,1.0752445058715789e-21,0.0
0.178,5.01e-05,0.0,7.374946e-16,1.7037918626945795e-21,0.0
0.178,6.31e-05,0.0,1.183048e-15,2.7027122276099954e-21,0.0
0.178,7.94e-05,0.0,1.83208e-15,4.2793922205478076e-21,0.0
0.178,0.0001,0.0,2.939922e-15,6.787988345443167e-21,0.0
0.178,0.000126,0.0,4.653923e-15,1.0776610297225565e-20,0.0
0.178,0.000158,0.0,7.377581e-15,1.6945534105564315e-20,0.0
0.178,0.0002,0.0,1.170211e-14,2.715195338177267e-20,0.0
0.178,0.000251,0.0,1.847431e-14,4.2765005375126464e-20,0.0
0.178,0.000316,0.0,2.939058e-14,6.778213642225726e-20,0.0
0.178,0.000398,0.0,4.647602e-14,1.0752445058715791e-19,0.0
0.178,0.000501,0.0,7.311317e-14,1.70379186269458e-19,0.0
0.178,0.000631,0.0,1.172882e-13,2.702712227609996e-19,0.0
0.178,0.000794,2.6460780247774336e-05,1.850936e-13,4.2793922205478054e-19,5.877265289843333e-12
0.178,0.001,0.0,2.939488e-13,6.787988345443164e-19,0.0
0.178,0.00126,6.963367009569391e-06,4.675462e-13,1.0776610297225568e-18,3.9068349414354384e-12
0.178,0.00158,6.963367009569389e-06,7.263342e-13,1.6945534105564313e-18,6.069277927442369e-12
0.178,0.002,2.655159417178472e-05,1.179592e-12,2.7151953381772658e-18,3.7584057686740664e-11
0.178,0.00251,2.6824035943815892e-05,1.863514e-12,4.276500537512648e-18,5.998435982136496e-11
0.178,0.00316,0.00011967904108622573,2.96746e-12,6.778213642225725e-18,4.2617132071407775e-10
0.178,0.00398,0.00011280648800066672,4.746175e-12,1.0752445058715792e-17,6.424791998238773e-10
0.178,0.00501,6.015736927714923e-05,7.381408e-12,1.7037918626945794e-17,5.328553042095642e-10
0.178,0.00631,8.689059129695473e-05,1.18824e-11,2.7027122276099953e-17,1.238962514432322e-09
0.178,0.00794,0.00010108976708812469,1.854174e-11,4.279392220547806e-17,2.2492562136102786e-09
0.178,0.01,0.00021425951078483295,2.953272e-11,6.787988345443164e-17,7.593199367214544e-09
0.178,0.0126,0.0005333936683269965,4.678556e-11,1.0776610297225568e-16,2.994614576775936e-08
0.178,0.0158,0.0005561305267662597,7.434763e-11,1.6945534105564316e-16,4.961638396286756e-08
0.178,0.02,0.0009425969045064782,1.184913e-10,2.715195338177266e-16,1.3402743910913817e-07
0.178,0.0251,0.001072175837100953,1.857665e-10,4.2765005375126484e-16,2.39009223171377e-07
0.178,0.0316,0.002042324462734447,2.89593e-10,6.778213642225726e-16,7.09731441763988e-07
0.178,0.0398,0.002185527208645682,4.678209e-10,1.0752445058715792e-15,1.226922366867733e-06
0.178,0.0501,0.0026422330978863517,7.400471e-10,1.7037918626945797e-15,2.3464523299377736e-06
0.178,0.0631,0.0026968502668747816,1.166503e-09,2.702712227609996e-15,3.7750607122322804e-06
0.178,0.0794,0.0027203136367061286,1.852888e-09,4.279392220547806e-15,6.048523792426974e-06
0.178,0.1,0.002468390957431748,2.924861e-09,6.787988345443165e-15,8.663640532973738e-06
0.178,0.126,0.002258703172701866,4.691484e-09,1.077661029722557e-14,1.271600375457605e-05
0.178,0.158,0.0017281252869432771,7.355989e-09,1.6945534105564315e-14,1.5254484721651907e-05
0.178,0.2,0.0009683013172988538,1.160107e-08,2.715195338177266e-14,1.3479997635691457e-05
0.178,0.251,0.0004208596220983608,1.841195e-08,4.276500537512648e-14,9.2986155829127e-06
0.178,0.316,0.00011477453826557967,2.917118e-08,6.778213642225726e-14,4.017730458194535e-06
0.178,0.398,3.351496118135411e-05,4.757924e-08,1.075244505871579e-13,1.913539657965997e-06
0.178,0.501,6.781739161548611e-06,7.370988e-08,1.7037918626945793e-13,5.998574157468586e-07
0.178,0.631,0.0,1.163207e-07,2.7027122276099956e-13,0.0
0.178,0.794,0.0,1.846219e-07,4.2793922205478077e-13,0.0
0.178,1.0,0.0,2.927518e-07,6.787988345443165e-13,0.0
0.316,3.16e-08,0.0,8.854863e-25,4.008895752389564e-25,0.0
