filename,filepath,scan,run,mass,CaPhi,nLLP_original,nLLP_original_weighted,nLLP_LLPdecay,nLLP_LLPdecay_weighted,nLLP_InCavern,nLLP_InCavern_weighted,nLLP_NotInATLAS,nLLP_NotInATLAS_weighted,nLLP_Geometry,nLLP_Geometry_weighted,nLLP_Tracker,nLLP_Tracker_weighted,nLLP_MET,nLLP_MET_weighted,nLLP_IsoJet,nLLP_IsoJet_weighted,nLLP_IsoCharged,nLLP_IsoCharged_weighted,nLLP_IsoAll,nLLP_IsoAll_weighted,nLLP_Final,nLLP_Final_weighted,n_surviving_llps,status
ALP_Z_sampledfs_Scan_7_Run_7.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_Z_FINAL_Default_Lifetime/Generated_Events_1/ALP_Z_sampledfs_Scan_7_Run_7.pkl.gz,7,7,1.78,3.16e-06,2000,1.75301372e-12,2000,1.75301372e-12,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_Z_sampledfs_Scan_7_Run_8.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_Z_FINAL_Default_Lifetime/Generated_Events_1/ALP_Z_sampledfs_Scan_7_Run_8.pkl.gz,7,8,1.78,1e-06,2000,1.75357932e-13,2000,1.75357932e-13,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_Z_sampledfs_Scan_8_Run_1.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_Z_FINAL_Default_Lifetime/Generated_Events_1/ALP_Z_sampledfs_Scan_8_Run_1.pkl.gz,8,1,3.16,0.001,2000,1.5328108600000003e-07,2000,1.5328108600000003e-07,2000,1.5328108600000003e-07,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_Z_sampledfs_Scan_8_Run_2.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_Z_FINAL_Default_Lifetime/Generated_Events_1/ALP_Z_sampledfs_Scan_8_Run_2.pkl.gz,8,2,3.16,0.000316,2000,1.5299625999999995e-08,2000,1.5299625999999995e-08,2000,1.5299625999999995e-08,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_Z_sampledfs_Scan_8_Run_3.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_Z_FINAL_Default_Lifetime/Generated_Events_1/ALP_Z_sampledfs_Scan_8_Run_3.pkl.gz,8,3,3.16,0.0001,2000,1.5319689400000005e-09,2000,1.5319689400000005e-09,1967,1.5066914524900005e-09,16,1.225575152e-11,2,1.53196894e-12,2,1.53196894e-12,2,1.53196894e-12,2,1.53196894e-12,2,1.53196894e-12,2,1.53196894e-12,2,1.53196894e-12,2,success
ALP_Z_sampledfs_Scan_8_Run_4.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_Z_FINAL_Default_Lifetime/Generated_Events_1/ALP_Z_sampledfs_Scan_8_Run_4.pkl.gz,8,4,3.16,3.16e-05,2000,1.529200640000001e-10,2000,1.529200640000001e-10,1455,1.1124934656000006e-10,102,7.798923264000006e-12,27,2.0644208640000007e-12,25,1.9115008000000005e-12,22,1.6821207040000006e-12,22,1.6821207040000006e-12,22,1.6821207040000006e-12,22,1.6821207040000006e-12,22,1.6821207040000006e-12,22,success
ALP_Z_sampledfs_Scan_8_Run_5.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_Z_FINAL_Default_Lifetime/Generated_Events_1/ALP_Z_sampledfs_Scan_8_Run_5.pkl.gz,8,5,3.16,1e-05,2000,1.5260649800000004e-11,2000,1.5260649800000004e-11,444,3.387864255600001e-12,81,6.180563169000001e-13,20,1.52606498e-13,16,1.220851984e-13,6,4.5781949400000004e-14,6,4.5781949400000004e-14,6,4.5781949400000004e-14,6,4.5781949400000004e-14,6,4.5781949400000004e-14,6,success
ALP_Z_sampledfs_Scan_8_Run_6.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_Z_FINAL_Default_Lifetime/Generated_Events_1/ALP_Z_sampledfs_Scan_8_Run_6.pkl.gz,8,6,3.16,3.16e-06,2000,1.5332170999999997e-12,2000,1.5332170999999997e-12,53,4.0630253150000006e-14,17,1.3032345350000001e-14,2,1.5332171000000002e-15,2,1.5332171000000002e-15,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_Z_sampledfs_Scan_8_Run_7.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_Z_FINAL_Default_Lifetime/Generated_Events_1/ALP_Z_sampledfs_Scan_8_Run_7.pkl.gz,8,7,3.16,1e-06,2000,1.5298677399999997e-13,2000,1.5298677399999997e-13,7,5.35453709e-16,1,7.6493387e-17,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_Z_sampledfs_Scan_8_Run_8.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_Z_FINAL_Default_Lifetime/Generated_Events_1/ALP_Z_sampledfs_Scan_8_Run_8.pkl.gz,8,8,3.16,3.16e-07,2000,1.5373034600000004e-14,2000,1.5373034600000004e-14,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_Z_sampledfs_Scan_9_Run_1.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_Z_FINAL_Default_Lifetime/Generated_Events_1/ALP_Z_sampledfs_Scan_9_Run_1.pkl.gz,9,1,5.62,0.000316,2000,1.28235576e-08,2000,1.28235576e-08,2000,1.28235576e-08,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_Z_sampledfs_Scan_9_Run_2.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_Z_FINAL_Default_Lifetime/Generated_Events_1/ALP_Z_sampledfs_Scan_9_Run_2.pkl.gz,9,2,5.62,0.0001,2000,1.2912739000000004e-09,2000,1.2912739000000004e-09,2000,1.2912739000000004e-09,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_Z_sampledfs_Scan_9_Run_3.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_Z_FINAL_Default_Lifetime/Generated_Events_1/ALP_Z_sampledfs_Scan_9_Run_3.pkl.gz,9,3,5.62,3.16e-05,2000,1.291217700000001e-10,2000,1.291217700000001e-10,1934,1.2486075159000006e-10,28,1.8077047800000006e-12,5,3.228044250000001e-13,5,3.228044250000001e-13,5,3.228044250000001e-13,5,3.228044250000001e-13,5,3.228044250000001e-13,5,3.228044250000001e-13,5,3.228044250000001e-13,5,success
ALP_Z_sampledfs_Scan_9_Run_4.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_Z_FINAL_Default_Lifetime/Generated_Events_1/ALP_Z_sampledfs_Scan_9_Run_4.pkl.gz,9,4,5.62,1e-05,2000,1.2941870799999999e-11,2000,1.2941870799999999e-11,1259,8.146907668599999e-12,113,7.312157001999999e-13,21,1.3588964340000002e-13,21,1.3588964340000002e-13,19,1.2294777260000002e-13,19,1.2294777260000002e-13,19,1.2294777260000002e-13,19,1.2294777260000002e-13,19,1.2294777260000002e-13,19,success
ALP_Z_sampledfs_Scan_9_Run_5.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_Z_FINAL_Default_Lifetime/Generated_Events_1/ALP_Z_sampledfs_Scan_9_Run_5.pkl.gz,9,5,5.62,3.16e-06,2000,1.2994255000000005e-12,2000,1.2994255000000005e-12,324,2.1050693100000006e-13,64,4.158161600000001e-14,8,5.1977020000000005e-15,6,3.8982765000000005e-15,2,1.2994255000000001e-15,2,1.2994255000000001e-15,2,1.2994255000000001e-15,2,1.2994255000000001e-15,2,1.2994255000000001e-15,2,success
ALP_Z_sampledfs_Scan_9_Run_6.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_Z_FINAL_Default_Lifetime/Generated_Events_1/ALP_Z_sampledfs_Scan_9_Run_6.pkl.gz,9,6,5.62,1e-06,2000,1.3005228200000002e-13,2000,1.3005228200000002e-13,40,2.6010456400000003e-15,11,7.152875510000001e-16,3,1.95078423e-16,3,1.95078423e-16,1,6.5026141e-17,1,6.5026141e-17,1,6.5026141e-17,1,6.5026141e-17,1,6.5026141e-17,1,success
ALP_Z_sampledfs_Scan_9_Run_7.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_Z_FINAL_Default_Lifetime/Generated_Events_1/ALP_Z_sampledfs_Scan_9_Run_7.pkl.gz,9,7,5.62,3.16e-07,2000,1.2974988800000005e-14,2000,1.2974988800000005e-14,2,1.2974988800000002e-17,2,1.2974988800000002e-17,1,6.487494400000001e-18,1,6.487494400000001e-18,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
ALP_Z_sampledfs_Scan_9_Run_8.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_Z_FINAL_Default_Lifetime/Generated_Events_1/ALP_Z_sampledfs_Scan_9_Run_8.pkl.gz,9,8,5.62,1e-07,2000,1.2867735000000004e-15,2000,1.2867735000000004e-15,1,6.433867500000001e-19,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
