filename,filepath,scan,run,mass,CaPhi,generated_events_index,nLLP_original,nLLP_original_weighted,nLLP_LLPdecay,nLLP_LLPdecay_weighted,nLLP_InCavern,nLLP_InCavern_weighted,nLLP_NotInATLAS,nLLP_NotInATLAS_weighted,nLLP_Geometry,nLLP_Geometry_weighted,nLLP_Tracker,nLLP_Tracker_weighted,nLLP_MET,nLLP_MET_weighted,nLLP_IsoJet,nLLP_IsoJet_weighted,nLLP_IsoCharged,nLLP_IsoCharged_weighted,nLLP_IsoAll,nLLP_IsoAll_weighted,nLLP_Final,nLLP_Final_weighted,n_surviving_llps,status
Higgs_to_ALP_Z_sampledfs_Scan_4_Run_7.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/Higgs_to_ALP_Z_FINAL_Default_Lifetime/Generated_Events_2/Higgs_to_ALP_Z_sampledfs_Scan_4_Run_7.pkl.gz,4,7,0.316,0.000316,2,2000,0.003840692399999998,2000,0.003840692399999998,67,0.00012866319539999997,18,3.4566231599999996e-05,5,9.601731e-06,3,5.7610386e-06,2,3.8406924e-06,2,3.8406924e-06,2,3.8406924e-06,2,3.8406924e-06,2,3.8406924e-06,2,success
Higgs_to_ALP_Z_sampledfs_Scan_4_Run_8.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/Higgs_to_ALP_Z_FINAL_Default_Lifetime/Generated_Events_2/Higgs_to_ALP_Z_sampledfs_Scan_4_Run_8.pkl.gz,4,8,0.316,0.0001,2,2000,0.0003859707400000001,2000,0.0003859707400000001,3,5.7895611e-07,2,3.8597074e-07,2,3.8597074e-07,2,3.8597074e-07,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
Higgs_to_ALP_Z_sampledfs_Scan_4_Run_9.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/Higgs_to_ALP_Z_FINAL_Default_Lifetime/Generated_Events_2/Higgs_to_ALP_Z_sampledfs_Scan_4_Run_9.pkl.gz,4,9,0.316,3.16e-05,2,2000,3.841919199999999e-05,2000,3.841919199999999e-05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
Higgs_to_ALP_Z_sampledfs_Scan_5_Run_1.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/Higgs_to_ALP_Z_FINAL_Default_Lifetime/Generated_Events_2/Higgs_to_ALP_Z_sampledfs_Scan_5_Run_1.pkl.gz,5,1,0.562,0.1,2,2000,385.55237999999997,2000,385.55237999999997,2000,385.55237999999997,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
Higgs_to_ALP_Z_sampledfs_Scan_5_Run_2.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/Higgs_to_ALP_Z_FINAL_Default_Lifetime/Generated_Events_2/Higgs_to_ALP_Z_sampledfs_Scan_5_Run_2.pkl.gz,5,2,0.562,0.0316,2,2000,38.42309,2000,38.42309,2000,38.42309,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
Higgs_to_ALP_Z_sampledfs_Scan_5_Run_3.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/Higgs_to_ALP_Z_FINAL_Default_Lifetime/Generated_Events_2/Higgs_to_ALP_Z_sampledfs_Scan_5_Run_3.pkl.gz,5,3,0.562,0.01,2,2000,3.849304400000001,2000,3.849304400000001,2000,3.849304400000001,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
Higgs_to_ALP_Z_sampledfs_Scan_5_Run_4.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/Higgs_to_ALP_Z_FINAL_Default_Lifetime/Generated_Events_2/Higgs_to_ALP_Z_sampledfs_Scan_5_Run_4.pkl.gz,5,4,0.562,0.00316,2,2000,0.3830677800000001,2000,0.3830677800000001,1956,0.37464028884000006,13,0.0024899405700000003,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
Higgs_to_ALP_Z_sampledfs_Scan_5_Run_5.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/Higgs_to_ALP_Z_FINAL_Default_Lifetime/Generated_Events_2/Higgs_to_ALP_Z_sampledfs_Scan_5_Run_5.pkl.gz,5,5,0.562,0.001,2,2000,0.038404670000000016,2000,0.038404670000000016,1265,0.024290953775000006,170,0.0032643969500000007,36,0.0006912840600000002,30,0.0005760700500000003,10,0.00019202335000000003,10,0.00019202335000000003,9,0.00017282101500000003,9,0.00017282101500000003,9,0.00017282101500000003,9,success
Higgs_to_ALP_Z_sampledfs_Scan_5_Run_6.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/Higgs_to_ALP_Z_FINAL_Default_Lifetime/Generated_Events_2/Higgs_to_ALP_Z_sampledfs_Scan_5_Run_6.pkl.gz,5,6,0.562,0.000316,2,2000,0.003840382400000001,2000,0.003840382400000001,235,0.00045124493200000013,51,9.792975120000004e-05,15,2.880286800000001e-05,15,2.880286800000001e-05,3,5.760573600000001e-06,3,5.760573600000001e-06,3,5.760573600000001e-06,3,5.760573600000001e-06,3,5.760573600000001e-06,3,success
Higgs_to_ALP_Z_sampledfs_Scan_5_Run_7.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/Higgs_to_ALP_Z_FINAL_Default_Lifetime/Generated_Events_2/Higgs_to_ALP_Z_sampledfs_Scan_5_Run_7.pkl.gz,5,7,0.562,0.0001,2,2000,0.00038419955999999993,2000,0.00038419955999999993,28,5.37879384e-06,7,1.3446984600000004e-06,1,1.9209978000000003e-07,1,1.9209978000000003e-07,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
Higgs_to_ALP_Z_sampledfs_Scan_5_Run_8.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/Higgs_to_ALP_Z_FINAL_Default_Lifetime/Generated_Events_2/Higgs_to_ALP_Z_sampledfs_Scan_5_Run_8.pkl.gz,5,8,0.562,3.16e-05,2,2000,3.849976799999999e-05,2000,3.849976799999999e-05,1,1.9249884e-08,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
Higgs_to_ALP_Z_sampledfs_Scan_5_Run_9.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/Higgs_to_ALP_Z_FINAL_Default_Lifetime/Generated_Events_2/Higgs_to_ALP_Z_sampledfs_Scan_5_Run_9.pkl.gz,5,9,0.562,1e-05,2,2000,3.8543584e-06,2000,3.8543584e-06,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
Higgs_to_ALP_Z_sampledfs_Scan_6_Run_1.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/Higgs_to_ALP_Z_FINAL_Default_Lifetime/Generated_Events_2/Higgs_to_ALP_Z_sampledfs_Scan_6_Run_1.pkl.gz,6,1,1.0,0.01,2,2000,3.84553,2000,3.84553,2000,3.84553,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
Higgs_to_ALP_Z_sampledfs_Scan_6_Run_2.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/Higgs_to_ALP_Z_FINAL_Default_Lifetime/Generated_Events_2/Higgs_to_ALP_Z_sampledfs_Scan_6_Run_2.pkl.gz,6,2,1.0,0.00316,2,2000,0.38405304000000007,2000,0.38405304000000007,1997,0.38347696044000007,2,0.00038405304000000003,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success
Higgs_to_ALP_Z_sampledfs_Scan_6_Run_3.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/Higgs_to_ALP_Z_FINAL_Default_Lifetime/Generated_Events_2/Higgs_to_ALP_Z_sampledfs_Scan_6_Run_3.pkl.gz,6,3,1.0,0.001,2,2000,0.03845114400000001,2000,0.03845114400000001,1795,0.03450990174,71,0.001365015612,10,0.00019225572000000003,9,0.00017303014800000002,8,0.000153804576,8,0.000153804576,8,0.000153804576,8,0.000153804576,8,0.000153804576,8,success
